Nome,Endereço,Latitude,Longitude,Avaliação,Total de Avaliações,Telefone,Website,Categorias,Place ID,Link Google Maps,Horário de Funcionamento
Udikar,"Av. Afonso Pena, 1193 - Sala 101 - Centro, Uberlândia - MG, 38400-706, Brasil",-18.9126422,-48.2737477,3.8,16.0,(34) 3199-9932,,"point_of_interest, establishment",ChIJAQBEYq5FpJQRnU7l7A1ki2Q,https://maps.google.com/?cid=7244994436527378077,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
Rental Dress - Sistema de locação de Roupas,"R. Afonso Arinos, 700 - ap 402 bloco B - Tubalina, Uberlândia - MG, 38412-032, Brasil",-18.9338516,-48.3029363,4.0,1.0,(34) 99173-6523,https://www.rentaldress.com.br/,"point_of_interest, establishment",ChIJaXbO8RRFpJQRLvSANE_7b9A,https://maps.google.com/?cid=15019499599905748014,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
Khronos Tecnologia - Aplicativo / Software,"R. Raul Soares, 320 - Centro, Araguari - MG, 38440-052, Brasil",-18.6430667,-48.1955071,3.5,4.0,(34) 98886-6046,http://geovanny-oliveira16.wix.com/khronostecnologia,"point_of_interest, establishment",ChIJGwkoqs4xpJQRqX42gnptgLU,https://maps.google.com/?cid=13078573690821967529,segunda-feira: 09:00 – 21:00 | terça-feira: 09:00 – 21:00 | quarta-feira: 09:00 – 21:00 | quinta-feira: 09:00 – 21:00 | sexta-feira: 09:00 – 21:00 | sábado: Fechado | domingo: Fechado
AZShip,"Av. José Andraus Gassani, 1504 - Distrito Industrial, Uberlândia - MG, 38402-322, Brasil",-18.8667399,-48.2708154,5.0,1062.0,(34) 3253-9050,http://azship.com.br/,"point_of_interest, establishment",ChIJfVyFDAxHpJQRbiD-1rQas9o,https://maps.google.com/?cid=15758968885102911598,segunda-feira: 08:00 – 17:30 | terça-feira: 08:00 – 17:30 | quarta-feira: 08:00 – 17:30 | quinta-feira: 08:00 – 17:30 | sexta-feira: 08:00 – 17:30 | sábado: Fechado | domingo: Fechado
Chacara do Maradona,"ALAMEDA FLAMBOYANT - Rod. Uberlândia Prata, 49 - km 16.4 - Rural, Uberlândia - MG, 38400-000, Brasil",-18.9994472,-48.4402765,4.7,3.0,(34) 3217-0481,http://www.flaviocia.com.br/,"point_of_interest, establishment",ChIJNU1o-IJppJQRV8YMu10-6b4,https://maps.google.com/?cid=13756595109070947927,segunda-feira: 09:00 – 17:00 | terça-feira: 07:00 – 20:00 | quarta-feira: 08:00 – 20:00 | quinta-feira: 08:00 – 19:00 | sexta-feira: 08:00 – 19:00 | sábado: 08:00 – 20:00 | domingo: Fechado
Saymed IA,"Centro, Uberlândia - MG, 38408-686, Brasil",-18.9106349,-48.2608641,,,,,"point_of_interest, establishment",ChIJD-cWkWxFpJQRr6hDQK6iFRc,https://maps.google.com/?cid=1663414506669451439,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
"Upper Connect - Software All-in-one de Atendimento, Marketing e Vendas","Alameda Conjuração Mineira, 20 - Piso 1 - Jardim Karaíba, Uberlândia - MG, 38411-284, Brasil",-18.9370062,-48.2724117,,,(34) 3221-9300,https://upperconnect.com.br/,"point_of_interest, establishment",ChIJAw5k8YJFpJQRiV9GGQ-Kkqo,https://maps.google.com/?cid=12291038130500689801,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
Espaço AMG Uberlândia | Coworking & Salas Privativas,"R. José Nonato Ribeiro, 428 - Cazeca, Uberlândia - MG, 38400-066, Brasil",-18.9023274,-48.24023680000001,5.0,28.0,(34) 99219-0017,http://www.espacoamg.com.br/,"point_of_interest, establishment",ChIJHxtOtuZFpJQROcmOP94Vtj8,https://maps.google.com/?cid=4590880914444044601,segunda-feira: 08:00 – 19:00 | terça-feira: 08:00 – 19:00 | quarta-feira: 08:00 – 19:00 | quinta-feira: 08:00 – 19:00 | sexta-feira: 08:00 – 19:00 | sábado: 08:00 – 13:00 | domingo: Fechado
Samuel Ramos Desenvolvedor,"R. Ronan Manoel Pereira, 2283 - Segismundo Pereira, Uberlândia - MG, 38408-274, Brasil",-18.9338027,-48.23087169999999,5.0,1.0,(34) 98867-6166,https://samuelramos.dev/,"point_of_interest, establishment",ChIJYajmAihPpJQREz1Ev6RwYGs,https://maps.google.com/?cid=7737308012708379923,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Fechado | domingo: Fechado
PsicoManager,"Av. Rondon Pacheco, 2111 - Lídice, Uberlândia - MG, 38400-050, Brasil",-18.9263809,-48.274181,4.7,335.0,(34) 99268-6262,https://www.psicomanager.com.br/,"point_of_interest, establishment",ChIJZ8kmsZZEpJQRaUXuObdWjxk,https://maps.google.com/?cid=1841786117568742761,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: 08:00 – 12:00 | domingo: Fechado
Lume,"R. Romeu Margonari, 61 - Santa Mônica, Uberlândia - MG, 38408-072, Brasil",-18.9258063,-48.2509494,,,(34) 99661-2499,,"point_of_interest, establishment",ChIJ2wciUl5FpJQRnvR68a7FcVg,https://maps.google.com/?cid=6373092302872310942,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
